id,place_name,overview,price,activity_type,,,,,,,,,,,,,
24,Jeddah Yacht Club,"the first of its kind in the Red Sea, where it adheres to practices that preserve the environment and wealth of the sea. The Yacht Club's pier is also an official port through which passengers can enter Saudi Arabia and finish their passport and customs procedures.",200 SR ,adventure,,,,,,,,,,,,,
25,North Corniche," where residents like to sit facing the Red Sea with their families and friends. The children also enjoy playgrounds set up for them in designated locations near their families. The North Corniche has a vast area estimated at 236,000 m2, stretching from the Border Guard Center to the Nawras Roundabout. The North Corniche has many service stalls, kiosks, and restaurants.",30 SR,nature,,,,,,,,,,,,,
26,Central Corniche,"Central Corniche is known by other names, such as: Alhamra Corniche which is known for having the longest fountain in the world (King Fahd Fountain). This fountain was gifted to the city of Jeddah by King Fahd in 1985. The base of the fountain is represented in the shape of an essence burner expressing hospitality and a warm welcome to Jeddah's visitors. Restaurants and service kiosks are also scattered along the Central Corniche.",50 SR,nature,,,,,,,,,,,,,
27,Cruise Trips,"Enjoy the experience of cruise tours in the Red Sea, starting your trip at the shores of Sharm Obhur, which is best known for its great cruises. Tours continue on their trips within the Jeddah Secretariat Marina 24 hours/day, and their boats vary in size and capacity of up to 18 people, and you can choose the time and type of music that suits you, and enjoy a unique experience.",300 SR,adventure,,,,,,,,,,,,,
28,Muvi Cinema ," with the latest technologies, a unique experience to set the tone for a joyful experience shared with family and friends. ",80 SR,entertainment,,,,,,,,,,,,,
29,AMC Cinema,Star Avenues AMC Cinema branch offers a stimulating scented experience and let the sensational shows take you out of this world,80 SR,entertainment,,,,,,,,,,,,,
30,Cinepolis Cinemas,"Discover the premium lounge at Cinepolis Cinemas at University Plaza, with flexible seats and wide legroom. The Junior Kids Room offers 20 minutes of playtime before the movie, and 15 minutes during movie intermission.",80 SR,entertainment,,,,,,,,,,,,,
31,Majlis Ziryab,"weekly music assembly in Historic Jeddah, in which Saudi artists republish classic songs and it also offers music courses.",200 SR ,culture,,,,,,,,,,,,,
32,Muse Center,"center that teaches playing different instruments and holds various singing and cultural evenings. The Culture and Arts Club organizes occasional evenings of ""folk art groups,"" within malls and historical places",200 SR ,culture,,,,,,,,,,,,,
33,Aljawharah Stadium,"King Abdullah Sports City hosted the most prominent international sports events, attracting many sports and thousands of fans interested in these extraordinary events, such as The first “WWE” Freestyle Wrestling Championship and Dakar Rally in 2021. Here is where unparalleled adventures and many world concerts were held, which made it one of the most important entertainment destinations in Saudi Arabia.",150 SR,sport,,,,,,,,,,,,,
34,Iceland amusement center,"Iceland has created a variety of entertainment offers for families, individuals, schools and birthday parties. With each offer, you get ice skating pass for more than 25 people, decorations and free speakers for the party.",300 SR,entertainment,,,,,,,,,,,,,
35,Salman Gulf,"A quiet shore away from the hustle of the city. Visitors come here to swim and fish in any of its three locations, which are: “Hosh Al-Jallab”, “Hosh Al-Masry” and “Hosh Al-Ghamra”. You can enjoy the best quiet times and catch a lot of Coral trout as they swim in the nearby shallow waters.",50 SR,urban,,,,,,,,,,,,,
36,Sharm Obhur,"There is diverse marine life with different choices of fish, such as grouper, Arab fish, and sardines. It is a frequently visited site by fishermen.",50 SR,urban,,,,,,,,,,,,,
37,Northern Conrniche,"Heading back to the Corniche, you will find two excellent fishing spots available at all times, the Pier and a fishing platform, about 9 km apart, surrounded by the Corniche with great hiking options.",50SR ,urban,,,,,,,,,,,,, 
38,Southern Corniche,"Here, you will definitely come across many fishermen casting their rods near the large rocks on the sidewalks. Take your seat and gear to this good spot, as it is close to the city and its shops. You might encounter many large fish there, such as the great white shark, Spinner shark, or Barracuda.",50 SR,urban,,,,,,,,,,,,,
39,Dhahban area,"It is about 20 km from Jeddah and is considered one of the most beautiful and quiet hiking areas in the north of Jeddah that attract a lot of fishermen. There is an abundance of Parrot Fish, which is most preferred for grilling.",50 SR,urban,,,,,,,,,,,,,
40,Jeddah Superdome,"Jeddah Superdome is the largest freestanding building, the largest geodesic dome, and the largest connected roof dome in the world. Marked by its unique geometric design and interior, Jeddah Superdome mimics a spider's web, and it is outfitted with steel trusses that can bear up to 444 tons, allowing it to enter Guinness World Records",1500 SR,urban,,,,,,,,,,,,,
41,Blue Horse,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",300 SR,sport,,,,,,,,,,,,,
42,Sunset Stable,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",400 SR,sport,,,,,,,,,,,,,
43,Rikaz Farm,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",200 SR ,sport,,,,,,,,,,,,,
44,AlMustabaggani Stable,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",200 SR ,sport,,,,,,,,,,,,,
45,City Horse Stable,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",300 SR,sport,,,,,,,,,,,,,
46,AlJazeera HorsemanshipClub,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",300 SR,sport,,,,,,,,,,,,,
47,Aseel Horsemanship Centre,"Visit a stable and learn more about horses, enjoy watching their different colors, and discover their unique characteristics that distinguishes one from the other. Hold on to the horse reins as you acquire new skills in training and taming horses.",300 SR,sport,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,," 

Just 80 km north of Jeddah, you will find the most breath-taking Red Sea coasts and a variety of exciting marine activities. This small city has one of the best spectacular sand beaches. Here, King Abdullah University of Science and Technology, the largest platinum LEED campus in the world, holds festivals and events from time to time.",,,,,,,,,,,,,,,
